"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"43249","El Puntal",,"el-puntal",,"ES","04271","0","0","37.47751","-2.36815","0","-1"
"43250","El Real",,"el-real",,"ES","04628","0","0","37.26086","-1.91550","0","-1"
"43251","El Realengo",,"el-realengo",,"ES","04610","0","0","37.34693","-1.85134","0","-1"
"43252","El Reconco",,"el-reconco",,"ES","04899","0","0","37.33963","-2.48058","0","-1"
"43253","El Reul Alto",,"el-reul-alto",,"ES","04867","0","0","37.28460","-2.34756","0","-1"
"43254","El Rincón",,"el-rincon",,"ES","04274","0","0","37.35153","-1.78933","0","-1"
"43255","El Rincon del Marques",,"el-rincon-del-marques",,"ES","04279","0","0","37.08898","-2.27048","0","-1"
"43256","El Río Chico",,"el-rio-chico",,"ES","04769","0","0","36.79430","-2.99573","0","-1"
"43257","El Rio Claro",,"el-rio-claro",,"ES","04830","0","0","37.70641","-2.10784","0","-1"
"43258","El Rio de Mula",,"el-rio-de-mula",,"ES","04820","0","0","37.63392","-2.10994","0","-1"
"43259","El Río Grande",,"el-rio-grande",,"ES","04769","0","0","36.81942","-3.02556","0","-1"
"43260","El Ruini",,"el-ruini",,"ES","04560","0","0","36.93844","-2.47099","0","-1"
"43261","El Rulador",,"el-rulador",,"ES","04610","0","0","37.29561","-1.88411","0","-1"
"43262","El Sacristan",,"el-sacristan",,"ES","04271","0","0","37.19458","-2.40262","0","-1"
"43263","El Saeti",,"el-saeti",,"ES","04271","0","0","37.21470","-2.08613","0","-1"
"43264","El Saltador",,"el-saltador",,"ES","04211","0","0","37.40324","-1.90861","0","-1"
"43265","El Saltador Alto",,"el-saltador-alto",,"ES","04149","0","0","37.02994","-1.92941","0","-1"
"43266","El Saltador Bajo",,"el-saltador-bajo",,"ES","04149","0","0","37.02719","-1.92948","0","-1"
"43267","El Salto del Lobo",,"el-salto-del-lobo",,"ES","04277","0","0","37.06659","-2.03436","0","-1"
"43268","El Santuario",,"el-santuario",,"ES","04813","0","0","37.52486","-2.17548","0","-1"
"43269","El Santuario de Monteagud",,"el-santuario-de-monteagud",,"ES","04276","0","0","37.21161","-2.20376","0","-1"
"43270","El Solanillo",,"el-solanillo",,"ES","04743","0","0","36.73501","-2.65850","0","-1"
"43271","El Tablar",,"el-tablar",,"ES","04859","0","0","37.26394","-2.21340","0","-1"
"43272","El Tallón Bajo",,"el-tallon-bajo",,"ES","04212","0","0","37.16642","-2.48974","0","-1"
"43273","El Tesoro",,"el-tesoro",,"ES","04277","0","0","37.06659","-2.03436","0","-1"
"43274","El Tomillar",,"el-tomillar",,"ES","04618","0","0","37.30152","-1.76819","0","-1"
"43275","El Toril",,"el-toril",,"ES","04778","0","0","36.75207","-3.05406","0","-1"
"43276","El Valle",,"el-valle",,"ES","04897","0","0","37.32300","-2.56917","0","-1"
"43277","El Villar",,"el-villar",,"ES","04813","0","0","37.59835","-2.25219","0","-1"
"43278","El Viso",,"el-viso",,"ES","04113","0","0","36.87991","-2.20395","0","-1"
"43279","Enix",,"enix",,"ES","04729","0","0","36.87704","-2.60211","0","-1"
"43280","Era Alta",,"era-alta",,"ES","04610","0","0","37.97473","-1.14934","0","-1"
"43281","Escúllar",,"escullar",,"ES","04532","0","0","37.17742","-2.73586","0","-1"
"43282","Espeliz",,"espeliz",,"ES","04200","0","0","37.06689","-2.34948","0","-1"
"43283","Estación",,"estacion",,"ES","04887","0","0","37.39959","-1.75211","0","-1"
"43284","Estación Férrea",,"estacion-ferrea",,"ES","04890","0","0","37.33551","-2.54685","0","-1"
"43285","Estacion Ferrocarril",,"estacion-ferrocarril",,"ES","04420","0","0","37.40052","-1.75059","0","-1"
"43286","Félix",,"felix",,"ES","04728","0","0","36.86892","-2.65792","0","-1"
"43287","Fernanperez",,"fernanperez",,"ES","04116","0","0","36.87996","-2.01569","0","-1"
"43288","Fiñana",,"finana",,"ES","04500","0","0","37.17101","-2.84068","0","-1"
"43289","Fines",,"fines",,"ES","04869","0","0","37.35887","-2.26296","0","-1"
"43290","Fondón",,"fondon",,"ES","04460","0","0","36.97942","-2.85836","0","-1"
"43291","Frajali Alto",,"frajali-alto",,"ES","04890","0","0","37.34424","-2.56933","0","-1"
"43292","Frajali Bajo",,"frajali-bajo",,"ES","04890","0","0","37.34424","-2.56933","0","-1"
"43293","Frax",,"frax",,"ES","04810","0","0","37.46134","-2.26551","0","-1"
"43294","Frax de Arriba",,"frax-de-arriba",,"ES","04810","0","0","37.47217","-2.28415","0","-1"
"43295","Fuenblanquilla",,"fuenblanquilla",,"ES","04271","0","0","37.27926","-2.10274","0","-1"
"43296","Fuencaliente y Calera",,"fuencaliente-y-calera",,"ES","04897","0","0","37.35836","-2.56033","0","-1"
"43297","Fuente Amarga",,"fuente-amarga",,"ES","04693","0","0","37.49351","-1.96432","0","-1"
"43298","Fuente del Mojon",,"fuente-del-mojon",,"ES","04800","0","0","37.47044","-2.12539","0","-1"
"43299","Fuente del Pino",,"fuente-del-pino",,"ES","04650","0","0","37.37593","-2.03712","0","-1"
"43300","Fuente Jaula",,"fuente-jaula",,"ES","04610","0","0","37.34693","-1.85134","0","-1"
"43301","Fuente Santa",,"fuente-santa",,"ES","04550","0","0","37.16263","-2.55942","0","-1"
"43302","Fuente Victoria",,"fuente-victoria",,"ES","04479","0","0","36.98544","-2.87679","0","-1"
"43303","Gacia",,"gacia",,"ES","04694","0","0","37.40311","-1.90779","0","-1"
"43304","Gacia Alto",,"gacia-alto",,"ES","04277","0","0","37.10157","-2.03067","0","-1"
"43305","Gacia Bajo",,"gacia-bajo",,"ES","04277","0","0","37.07107","-2.01090","0","-1"
"43306","Gádor",,"gador",,"ES","04560","0","0","36.95393","-2.49294","0","-1"
"43307","Gafares",,"gafares",,"ES","04149","0","0","37.01620","-1.99381","0","-1"
"43308","Gafarillos",,"gafarillos",,"ES","04277","0","0","37.05753","-2.01986","0","-1"
"43309","Garrido",,"garrido",,"ES","04270","0","0","37.16285","-2.15149","0","-1"
"43310","Garrucha",,"garrucha",,"ES","04630","0","0","37.17925","-1.82190","0","-1"
"43311","Gasparillo",,"gasparillo",,"ES","04859","0","0","37.26632","-2.27489","0","-1"
"43312","Gérgal",,"gergal",,"ES","04549","0","0","37.16077","-2.67416","0","-1"
"43313","German",,"german",,"ES","04660","0","0","37.34679","-2.08592","0","-1"
